,summary,Review,rating,ProductName,Url
471,Must buy!,Best product,5,Pediasure Health & Nutrition Drink Powder,https://www.flipkart.com/pediasure-scientifically-designed-health-nutrition-drink/p/itm5dfc003f51591?pid=ESRG4VKXXCHPUJWM&lid=LSTESRG4VKXXCHPUJWMKLXBOQ&marketplace=FLIPKART&q=pediasure&store=search.flipkart.com&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=2bcc863e-8f0e-41b9-bfee-25e7d01a70d5.ESRG4VKXXCHPUJWM.SEARCH&ppt=sp&ppn=sp&ssid=98zvxqif1s0000001709528205726&qH=7380e5cfab6a5735
472,Terrific,Good pr,5,Pediasure Health & Nutrition Drink Powder,https://www.flipkart.com/pediasure-scientifically-designed-health-nutrition-drink/p/itm5dfc003f51591?pid=ESRG4VKXXCHPUJWM&lid=LSTESRG4VKXXCHPUJWMKLXBOQ&marketplace=FLIPKART&q=pediasure&store=search.flipkart.com&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=2bcc863e-8f0e-41b9-bfee-25e7d01a70d5.ESRG4VKXXCHPUJWM.SEARCH&ppt=sp&ppn=sp&ssid=98zvxqif1s0000001709528205726&qH=7380e5cfab6a5736
473,Super!,Nice,5,Pediasure Health & Nutrition Drink Powder,https://www.flipkart.com/pediasure-scientifically-designed-health-nutrition-drink/p/itm5dfc003f51591?pid=ESRG4VKXXCHPUJWM&lid=LSTESRG4VKXXCHPUJWMKLXBOQ&marketplace=FLIPKART&q=pediasure&store=search.flipkart.com&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=2bcc863e-8f0e-41b9-bfee-25e7d01a70d5.ESRG4VKXXCHPUJWM.SEARCH&ppt=sp&ppn=sp&ssid=98zvxqif1s0000001709528205726&qH=7380e5cfab6a5737
474,Nice product,Good product 👍,4,Pediasure Health & Nutrition Drink Powder,https://www.flipkart.com/pediasure-scientifically-designed-health-nutrition-drink/p/itm5dfc003f51591?pid=ESRG4VKXXCHPUJWM&lid=LSTESRG4VKXXCHPUJWMKLXBOQ&marketplace=FLIPKART&q=pediasure&store=search.flipkart.com&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=2bcc863e-8f0e-41b9-bfee-25e7d01a70d5.ESRG4VKXXCHPUJWM.SEARCH&ppt=sp&ppn=sp&ssid=98zvxqif1s0000001709528205726&qH=7380e5cfab6a5738
475,Pretty good,Best price,4,Pediasure Health & Nutrition Drink Powder,https://www.flipkart.com/pediasure-scientifically-designed-health-nutrition-drink/p/itm5dfc003f51591?pid=ESRG4VKXXCHPUJWM&lid=LSTESRG4VKXXCHPUJWMKLXBOQ&marketplace=FLIPKART&q=pediasure&store=search.flipkart.com&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=2bcc863e-8f0e-41b9-bfee-25e7d01a70d5.ESRG4VKXXCHPUJWM.SEARCH&ppt=sp&ppn=sp&ssid=98zvxqif1s0000001709528205726&qH=7380e5cfab6a5739
476,Very poor,The cost was too high that's it,1,Pediasure Health & Nutrition Drink Powder,https://www.flipkart.com/pediasure-scientifically-designed-health-nutrition-drink/p/itm5dfc003f51591?pid=ESRG4VKXXCHPUJWM&lid=LSTESRG4VKXXCHPUJWMKLXBOQ&marketplace=FLIPKART&q=pediasure&store=search.flipkart.com&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=2bcc863e-8f0e-41b9-bfee-25e7d01a70d5.ESRG4VKXXCHPUJWM.SEARCH&ppt=sp&ppn=sp&ssid=98zvxqif1s0000001709528205726&qH=7380e5cfab6a5740
477,Mind-blowing purchase,Nice,5,Pediasure Health & Nutrition Drink Powder,https://www.flipkart.com/pediasure-scientifically-designed-health-nutrition-drink/p/itm5dfc003f51591?pid=ESRG4VKXXCHPUJWM&lid=LSTESRG4VKXXCHPUJWMKLXBOQ&marketplace=FLIPKART&q=pediasure&store=search.flipkart.com&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=2bcc863e-8f0e-41b9-bfee-25e7d01a70d5.ESRG4VKXXCHPUJWM.SEARCH&ppt=sp&ppn=sp&ssid=98zvxqif1s0000001709528205726&qH=7380e5cfab6a5741
478,Worth every penny,Best brand,5,Pediasure Health & Nutrition Drink Powder,https://www.flipkart.com/pediasure-scientifically-designed-health-nutrition-drink/p/itm5dfc003f51591?pid=ESRG4VKXXCHPUJWM&lid=LSTESRG4VKXXCHPUJWMKLXBOQ&marketplace=FLIPKART&q=pediasure&store=search.flipkart.com&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=2bcc863e-8f0e-41b9-bfee-25e7d01a70d5.ESRG4VKXXCHPUJWM.SEARCH&ppt=sp&ppn=sp&ssid=98zvxqif1s0000001709528205726&qH=7380e5cfab6a5742
479,Classy product,Great product as well as great price,5,Pediasure Health & Nutrition Drink Powder,https://www.flipkart.com/pediasure-scientifically-designed-health-nutrition-drink/p/itm5dfc003f51591?pid=ESRG4VKXXCHPUJWM&lid=LSTESRG4VKXXCHPUJWMKLXBOQ&marketplace=FLIPKART&q=pediasure&store=search.flipkart.com&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=2bcc863e-8f0e-41b9-bfee-25e7d01a70d5.ESRG4VKXXCHPUJWM.SEARCH&ppt=sp&ppn=sp&ssid=98zvxqif1s0000001709528205726&qH=7380e5cfab6a5743
480,Terrific purchase,Vary nice 👍,5,Pediasure Health & Nutrition Drink Powder,https://www.flipkart.com/pediasure-scientifically-designed-health-nutrition-drink/p/itm5dfc003f51591?pid=ESRG4VKXXCHPUJWM&lid=LSTESRG4VKXXCHPUJWMKLXBOQ&marketplace=FLIPKART&q=pediasure&store=search.flipkart.com&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=2bcc863e-8f0e-41b9-bfee-25e7d01a70d5.ESRG4VKXXCHPUJWM.SEARCH&ppt=sp&ppn=sp&ssid=98zvxqif1s0000001709528205726&qH=7380e5cfab6a5744
